seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,is_local,direction,dlc,data_hex,interface
231,1786725757.0378509,617428.452965519,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
232,1786725757.0852954,617428.500407269,854,0,0,0,0,BUS_RX,8,64151200F0000000,can1
233,1786725757.1357572,617428.550869353,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
234,1786725757.136857,617428.551965103,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
235,1786725757.185128,617428.600240519,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
236,1786725757.2353978,617428.650511061,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
237,1786725757.285123,617428.700235853,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
238,1786725757.3351774,617428.750289394,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
239,1786725757.3852267,617428.800340561,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
240,1786725757.3863363,617428.801445603,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
241,1786725757.4351926,617428.850304103,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
242,1786725757.485121,617428.900232603,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
243,1786725757.6352835,617429.050396394,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
244,1786725757.6613433,617429.076456186,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
245,1786725757.6626523,617429.077759645,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
246,1786725757.8851814,617429.300295686,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
247,1786725757.9353492,617429.350461645,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
248,1786725757.9851804,617429.400293978,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
249,1786725758.0351002,617429.45021352,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
250,1786725758.087075,617429.502188853,854,0,0,0,0,BUS_RX,8,65151300F0000000,can1
251,1786725758.1353092,617429.550423061,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
252,1786725758.136399,617429.551505645,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
253,1786725758.185163,617429.600275561,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
254,1786725758.235214,617429.650327061,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
255,1786725758.2911394,617429.70625202,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
256,1786725758.3351774,617429.750290728,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
257,1786725758.3867085,617429.80182077,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
258,1786725758.3877134,617429.802827562,1023,0,0,0,0,BUS_RX,8,630F990000000001,can1
259,1786725758.4354844,617429.85059777,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
260,1786725758.4855132,617429.90062827,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
261,1786725758.6357126,617430.05082502,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
262,1786725758.660566,617430.075679312,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
263,1786725758.6626987,617430.077812812,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
264,1786725758.8853066,617430.300419603,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
265,1786725758.9400156,617430.355131562,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
266,1786725758.9869306,617430.402045895,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
267,1786725759.0375507,617430.452662312,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
268,1786725759.0873706,617430.502503145,854,0,0,0,0,BUS_RX,8,65151200F0000000,can1
269,1786725759.1373758,617430.55248852,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
270,1786725759.1383882,617430.553494979,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
271,1786725759.1856294,617430.600741854,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
272,1786725759.2354603,617430.65059502,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
273,1786725759.285158,617430.700271562,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
274,1786725759.3350651,617430.75017902,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
275,1786725759.3854094,617430.800523229,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
276,1786725759.388462,617430.803568687,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
277,1786725759.4350684,617430.850181854,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
278,1786725759.4850903,617430.900202687,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
279,1786725759.6351643,617431.050277437,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
280,1786725759.6599739,617431.075085354,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
281,1786725759.6609201,617431.076026437,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
282,1786725759.8853648,617431.300477979,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
283,1786725759.935462,617431.350588604,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
284,1786725759.9850805,617431.400194479,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
285,1786725760.0350444,617431.450161437,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
286,1786725760.0851398,617431.500253437,854,0,0,0,0,BUS_RX,8,64151300F0000000,can1
287,1786725760.1352205,617431.550332687,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
